id,name,rating,hours,year,desc_preview
9P8JRMWRQP4H,UnknownID_9P8JRMWRQP4H,42.0,,,Опис недоступний / No description.
9PC5942D83RQ,UnknownID_9PC5942D83RQ,0.0,,,Опис недоступний / No description.
9P7Z1D3N8KR7,UnknownID_9P7Z1D3N8KR7,0.0,,,Опис недоступний / No description.
9PB86W3JK8Z5,UnknownID_9PB86W3JK8Z5,82.0,,,Опис недоступний / No description.
BP6V6QZBMFP0,Trials® Rising,40.0,17.61,2019,"🎮 Microsoft StoreExplore over-the-top action and physics-bending motorcycle racing in Trials® Rising, the latest edition of the Trials franchise. All new features, more competitions, and more tracks m"
9NLRT31Z4RWM,UnknownID_9NLRT31Z4RWM,100.0,,,Опис недоступний / No description.
9NM6NMBJ7ZK4,UnknownID_9NM6NMBJ7ZK4,34.0,,,Опис недоступний / No description.
9NDBKK9G0FHL,UnknownID_9NDBKK9G0FHL,0.0,,,Опис недоступний / No description.
9NMCDQ6RCJKH,UnknownID_9NMCDQ6RCJKH,76.0,,,Опис недоступний / No description.
9P9FJCK32PMT,UnknownID_9P9FJCK32PMT,0.0,,,Опис недоступний / No description.
C4VKLMG1HLZW,Unravel Two,94.0,5.11,2018,"🎮 Microsoft StoreWinner - D.I.C.E. Awards Family Game of the Year.

When you cut ties to the past, new bonds form. In Unravel Two, create a Yarny of your very own. Then build relationships with other "
9N79TQTZTQQ4,UnknownID_9N79TQTZTQQ4,76.0,,,Опис недоступний / No description.
9MT5KSV3RCWD,UnknownID_9MT5KSV3RCWD,60.0,,,Опис недоступний / No description.
BNXLPPCVS0HN,UnknownID_BNXLPPCVS0HN,52.0,,,Опис недоступний / No description.
9P2N57MC619K,Sea of Thieves: 2025 Edition,72.0,,,"🎮 Microsoft StoreSea of Thieves is a smash-hit pirate adventure game, offering the quintessential pirate experience of plundering lost treasures, fighting intense battles, vanquishing sea monsters and"
9NKD0MLJ3Z3X,UnknownID_9NKD0MLJ3Z3X,0.0,,,Опис недоступний / No description.
9PLGBZWN65RG,UnknownID_9PLGBZWN65RG,80.0,,,Опис недоступний / No description.
9NWVC7XP3PFD,Cities: Skylines - Windows 10 Edition,96.0,27.56,2015,"🎮 Microsoft StoreCities: Skylines – Windows 10 Edition puts you in charge of a growing city – from the ground-breaking of its first streets to the ever-changing needs of thousands of citizens. Design,"
BQXTS0SX4W0N,Tomb Raider: Definitive Edition,96.0,11.33,,"🎮 Microsoft StoreThe cinematic action-adventure that forced Lara Croft to grow from an inexperienced young woman into a hardened survivor has been re-built for next-gen consoles, featuring an obsessiv"
9PKJTP6DTND3,UnknownID_9PKJTP6DTND3,20.0,,,Опис недоступний / No description.
C0QDQ0KX4HDV,South Park™: The Stick of Truth ™,74.0,11.38,,"🎮 Microsoft StoreFrom the creators of South Park, Trey Parker and Matt Stone, comes an epic quest to become…cool.

Arm yourself with weapons of legend to defeat underpants gnomes, hippies, and other f"
9MTVJ3HHTQGS,UnknownID_9MTVJ3HHTQGS,40.0,,,Опис недоступний / No description.
9PBNGCVBGML0,Far Cry® 6,72.0,24.56,2021,"🎮 Microsoft StoreWelcome to Yara, a tropical paradise frozen in time. As the dictator of Yara, Antón Castillo is intent on restoring his nation to its former glory by any means necessary, with his son"
BSR9NLHVF1KL,UnknownID_BSR9NLHVF1KL,68.0,,,Опис недоступний / No description.
C0RNBFHQ7X96,Transference™,76.0,1.48,,🎮 Microsoft StoreJump into an escape room set in a deranged mind and experience a first-person exploration game in a chilling new dimension. Shift between three perspectives and attempt to unravel the
9P0P58R3NQDS,UnknownID_9P0P58R3NQDS,94.0,,,Опис недоступний / No description.
9N3F1LW9HC6C,UnknownID_9N3F1LW9HC6C,86.0,,,Опис недоступний / No description.
9NS37Q75LBCG,UnknownID_9NS37Q75LBCG,0.0,,,Опис недоступний / No description.
9NSD4HTWM8HT,UnknownID_9NSD4HTWM8HT,74.0,,,Опис недоступний / No description.
9NDKFJ6XDX2M,Call of Duty®: Modern Warfare® III - Standard Edition,80.0,5.29,2023,"🎮 Microsoft StoreADAPT OR DIE IN A FIGHT AGAINST THE ULTIMATE THREAT

In the direct sequel to the record-breaking Call of Duty®: Modern Warfare® II, Captain Price and Task Force 141 face off against t"
9NC4WDL5KZBL,UnknownID_9NC4WDL5KZBL,70.0,,,Опис недоступний / No description.
BSLTQT4L0RLV,Contrast,100.0,3.27,,"🎮 Microsoft StoreDev comment: Hey Xbox One players! See below for a personal note from the devs. 

Experience and explore a surreal 1920s dreamscape a vaudevillian, film noir-inspired almost-reality. "
9N9K5QP9G3GL,UnknownID_9N9K5QP9G3GL,0.0,,,Опис недоступний / No description.
9PG0PMB5Q0GT,UnknownID_9PG0PMB5Q0GT,64.0,,,Опис недоступний / No description.
